date,vix_term_structure_slope,realized_volatility_30d,realized_implied_spread,cross_asset_correlation,volatility_dispersion,vol_of_vol_ratio
2009-09-18,2.6199999999999974,20.0,3.9200000000000017,0.5,-9.818666666666665,2.942725752508361
2009-09-21,2.1700000000000017,20.0,4.059999999999999,0.5,-9.678666666666668,2.950955943474647
2009-09-22,2.610000000000003,20.0,3.0799999999999983,0.5,-10.658666666666669,2.957538994800694
2009-09-23,2.6000000000000014,20.0,3.4899999999999984,0.5,-10.248666666666669,2.902511707109409
2009-09-24,2.1799999999999997,20.0,4.949999999999999,0.5,-8.788666666666668,2.83687374749499
2009-09-25,1.6000000000000014,20.0,5.609999999999999,0.5,-8.128666666666668,2.8012495119094103
2009-09-28,1.3900000000000006,20.0,4.879999999999999,0.5,-8.858666666666668,2.8352090032154345
2009-09-29,1.2899999999999991,20.0,5.190000000000001,0.5,-8.548666666666666,2.7387852322350135
2009-09-30,1.0500000000000007,20.0,5.609999999999999,0.5,-8.128666666666668,2.7848496680983987
2009-10-01,0.05999999999999872,20.0,8.27,0.5,-5.4686666666666675,2.6972055182171912
2009-10-02,0.120000000000001,20.0,8.68,0.8542864880397044,-5.058666666666667,2.654463040446304
2009-10-05,0.7699999999999996,20.0,6.84,0.8646356082537638,-6.898666666666667,2.740685543964233
2009-10-06,1.0300000000000011,20.0,5.699999999999999,0.8401022895470303,-8.038666666666668,2.782101167315175
2009-10-07,1.4400000000000013,20.0,4.68,0.78345291310922,-9.058666666666667,2.877228525121556
2009-10-08,1.5599999999999987,20.0,4.18,0.7794508628998393,-9.558666666666667,2.8163771712158807
2009-10-09,1.9599999999999973,20.0,3.120000000000001,0.7434704900506297,-10.618666666666666,2.8347750865051906
2009-10-12,2.16,20.0,3.0100000000000016,0.7294058014005619,-10.728666666666665,2.823554976097349
2009-10-13,2.1000000000000014,20.0,2.9899999999999984,0.7523021006205102,-10.748666666666669,2.826011309264898
2009-10-14,1.7199999999999989,20.0,2.8599999999999994,0.7643744592062336,-10.878666666666668,3.0113735783027122
2009-10-15,2.5,20.0,1.7199999999999989,0.8016450663420158,-12.018666666666668,3.087937384898711
2009-10-16,2.969999999999999,20.0,1.4299999999999997,0.8123881554460878,-12.308666666666667,3.259449370041997
2009-10-19,2.66,20.0,1.4899999999999984,0.8342503684249316,-12.248666666666669,3.153094462540717
2009-10-20,2.8200000000000003,20.0,0.8999999999999986,0.8521979568181733,-12.838666666666668,3.283732057416268
